"Sp"	"Algorithm"	"Threshold"	"Partition"	"AUC"	"Kappa"	"TSS"	"Jaccard"	"Sorensen"	"Fpb"	"OR"	"Boyce"	"AUC_SD"	"Kappa_SD"	"TSS_SD"	"Jaccard_SD"	"Sorensen_SD"	"Fpb_SD"	"OR_SD"	"Boyce_SD"
"Sp_18"	"RDF"	"MAX_TSS"	"KFOLD"	0.59515570934256	0.264705882352941	0.264705882352941	0.45	0.611702127659574	0.899999999999998	0.323529411764706	0.2245	0.00978694506832591	0.0415945165403854	0.0415945165403854	0.164991582276862	0.157970663882101	0.32998316455372	0.457539681944237	0.204353859762912
"Sp_18"	"SVM"	"MAX_TSS"	"KFOLD"	0.655709342560554	0.382352941176471	0.38235294117647	0.488558352402746	0.647609147609147	0.977116704805494	0.38235294117647	0.259	0.110103132018666	0.124783549621155	0.124783549621156	0.169899798683266	0.154358029157147	0.339799597366536	0.291161615782696	0.154149278298667
"Sp_34"	"MXD"	"MAX_TSS"	"KFOLD"	0.75397927168662	0.488224637681159	0.488224637681159	0.647619047619048	0.785964912280702	1.2952380952381	0.0634057971014493	0.5325	0.0557532569904133	0.0755784421920407	0.0755784421920407	0.0269374011880589	0.019848611401728	0.0538748023761135	0.0281817920038117	0.200111219075793
"Sp_34"	"PCA"	"MAX_TSS"	"KFOLD"	0.728612030035707	0.42572463768116	0.42572463768116	0.625096525096525	0.769298245614035	1.25019305019305	0.0425724637681159	0.2815	0.0335888716619867	0.0128099054562777	0.0128099054562777	0.0049142556221459	0.00372161463782332	0.00982851124429603	0.00128099054562784	0.105358910396796
"Sp_34"	"RDF"	"MAX_TSS"	"KFOLD"	0.68837297836589	0.404891304347826	0.404891304347826	0.59295415959253	0.744396119103379	1.18590831918506	0.129528985507246	0.3965	0.0798019979765385	0.0422726880057174	0.0422726880057174	0.0174075523382085	0.0137210415887659	0.0348151046764114	0.124256082925897	0.108187337521542
"Sp_34"	"SVM"	"MAX_TSS"	"KFOLD"	0.278660601764335	0.0208333333333333	0.0208333333333332	0.494444444444444	0.661691542288557	0.988888888888889	0.0416666666666667	-0.574	0.0625875272021411	0.0294627825494395	0.0294627825494394	0.00785674201318379	0.00703588837001544	0.0157134840263676	0.058925565098879	0.0664680374315355
"Sp_39"	"MXD"	"MAX_TSS"	"KFOLD"	0.879304166666667	0.694166666666667	0.694166666666667	0.74915824915825	0.856566397652238	1.4983164983165	0.0833333333333335	0.678	0.00127868476264549	0.0200346921336186	0.0200346921336186	0.0119041545654302	0.00778180610256628	0.0238083091308646	0.117851130197758	0.172534054609518
"Sp_39"	"PCA"	"MAX_TSS"	"KFOLD"	0.891525	0.634166666666667	0.634166666666667	0.713235294117647	0.832080200501253	1.4264705882353	0.1025	0.7395	0.0208242947059438	0.104887505876004	0.104887505876004	0.0519931456754815	0.0354439489316565	0.103986291350962	0.0318198051533946	0.021920310216783
"Sp_39"	"RDF"	"MAX_TSS"	"KFOLD"	0.852836111111111	0.5725	0.5725	0.671171171171171	0.803225806451613	1.34234234234234	0.125	0.5955	0.0362549360198367	0.0742462120245875	0.0742462120245875	0.00637033136204098	0.00456197923346169	0.0127406627240834	0.176776695296637	0.163341666454092
"Sp_39"	"SVM"	"MAX_TSS"	"KFOLD"	0.850555555555556	0.611666666666667	0.611666666666667	0.670673076923077	0.80275624461671	1.34134615384616	0.201666666666667	0.634	0.0149278098250493	0.0400693842672379	0.0400693842672379	0.0237968628283933	0.0170533935169881	0.0475937256567853	0.167348604880816	0.123036579926459
